136,0.66,63857.65,-12.46,-12.7
137,0.67,63320.15,-12.31,-12.6
138,0.67,62790.43,-12.15,-12.4
139,0.68,62268.35,-12,-12.3
140,0.68,61753.71,-11.85,-12.1
141,0.69,61246.38,-11.7,-12.0
142,0.69,60746.2,-11.55,-11.8
143,0.7,60253.01,-11.4,-11.7
144,0.7,59766.67,-11.25,-11.5
145,0.71,59287.03,-11.1,-11.4
146,0.71,58813.97,-10.96,-11.2
147,0.72,58347.35,-10.81,-11.1
148,0.72,57887.03,-10.67,-10.9
149,0.73,57432.89,-10.52,-10.8
150,0.73,56984.8,-10.38,-10.6
151,0.74,56542.65,-10.23,-10.5
152,0.74,56106.32,-10.09,-10.4
153,0.75,55675.69,-9.95,-10.2
154,0.75,55250.65,-9.81,-10.1
155,0.76,54831.1,-9.66,-9.9
156,0.76,54416.92,-9.52,-9.8
157,0.77,54008.03,-9.38,-9.7
158,0.77,53604.3,-9.25,-9.5
159,0.78,53205.66,-9.11,-9.4
160,0.78,52812,-8.97,-9.2
161,0.79,52423.23,-8.83,-9.1
162,0.79,52039.26,-8.69,-9.0
163,0.8,51660,-8.56,-8.8
164,0.8,51285.37,-8.42,-8.7
165,0.81,50915.27,-8.29,-8.6
166,0.81,50549.64,-8.15,-8.4
167,0.82,50188.38,-8.02,-8.3
168,0.82,49831.43,-7.89,-8.2
169,0.83,49478.7,-7.75,-8.0
170,0.83,49130.12,-7.62,-7.9
171,0.83,48785.61,-7.49,-7.8
172,0.84,48445.12,-7.36,-7.6
173,0.84,48108.55,-7.23,-7.5
174,0.85,47775.86,-7.1,-7.4
175,0.85,47446.97,-6.97,-7.2
176,0.86,47121.82,-6.84,-7.1
177,0.86,46800.34,-6.71,-7.0
178,0.87,46482.47,-6.58,-6.9
179,0.87,46168.16,-6.45,-6.7
180,0.88,45857.33,-6.32,-6.6
181,0.88,45549.94,-6.2,-6.5
182,0.89,45245.93,-6.07,-6.4
183,0.89,44945.25,-5.94,-6.2
184,0.9,44647.83,-5.82,-6.1
185,0.9,44353.62,-5.69,-6.0
186,0.91,44062.58,-5.57,-5.8
187,0.91,43774.65,-5.44,-5.7
188,0.92,43489.79,-5.32,-5.6
189,0.92,43207.94,-5.19,-5.5
190,0.93,42929.05,-5.07,-5.4
191,0.93,42653.09,-4.95,-5.2
192,0.94,42380,-4.82,-5.1
193,0.94,42109.74,-4.7,-5.0
194,0.95,41842.27,-4.58,-4.9
195,0.95,41577.54,-4.46,-4.7
196,0.96,41315.51,-4.34,-4.6
197,0.96,41056.14,-4.22,-4.5
198,0.97,40799.39,-4.1,-4.4
199,0.97,40545.23,-3.98,-4.3
200,0.98,40293.6,-3.86,-4.1
201,0.98,40044.48,-3.74,-4.0
202,0.99,39797.82,-3.62,-3.9
203,0.99,39553.6,-3.5,-3.8
204,1,39311.76,-3.38,-3.7
205,1,39072.29,-3.27,-3.6
206,1.01,38835.15,-3.15,-3.4
207,1.01,38600.29,-3.03,-3.3
208,1.02,38367.69,-2.92,-3.2
209,1.02,38137.32,-2.8,-3.1
210,1.03,37909.14,-2.68,-3.0
211,1.03,37683.13,-2.57,-2.9
212,1.04,37459.25,-2.45,-2.7
213,1.04,37237.46,-2.34,-2.6
214,1.04,37017.76,-2.22,-2.5
215,1.05,36800.09,-2.11,-2.4
216,1.05,36584.44,-1.99,-2.3
217,1.06,36370.78,-1.88,-2.2
218,1.06,36159.08,-1.77,-2.1
219,1.07,35949.32,-1.65,-1.9
220,1.07,35741.45,-1.54,-1.8
221,1.08,35535.48,-1.43,-1.7
222,1.08,35331.35,-1.32,-1.6
223,1.09,35129.06,-1.2,-1.5
